Datetime,Type,Ticker,Fullname,Positions,Share Price,Book Value,Category
2024-12-03 20:00:04,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-12-03 20:00:04,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-12-03 20:00:04,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-12-03 20:00:04,Assets,Cash-CNY,Cash in CNY,1480000.0,1.0,1480000.0,Cash in CNY
2024-12-03 20:00:04,Assets,CNY=X,Cash in USD,250.0,7.285299777984619,1821.3249444961548,Cash in USD
2024-12-03 20:00:04,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-12-03 20:00:04,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-12-04 20:00:18,Assets,512290.SS,BIO ETF,296900.0,0.9409999847412108,279382.8954696655,Investments in CN
2024-12-04 20:00:18,Assets,DELL,Dell Technology,3031.0,915.8264691159056,2775870.02789031,Investments in US
2024-12-04 20:00:18,Assets,AMZN,Amazon,179.0,1584.4306762397464,283613.0910469146,Investments in US
2024-12-04 20:00:18,Assets,BTC-USD,BTC,3.0,714718.7403483763,2144156.221045129,Crypto to the Mars
2024-12-04 20:00:18,Assets,DOGE-USD,DOGE,89986.0,3.101150756677953,279060.1519904223,Crypto to the Mars
2024-12-04 20:00:18,Assets,IBKR,Interactive Brokers,4.0653,1350.6443429052888,5490.77444721287,Investments in US
2024-12-04 20:00:18,Assets,SOXL,SOXL,4.0,224.272172402214,897.0886896088559,Investments in US
2024-12-04 20:00:18,Assets,VOO,Vanguard S&P 500 ETF,30.0,4057.234879565309,121717.04638695926,Investments in US
2024-12-04 20:00:18,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
2024-12-04 20:00:18,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-12-04 20:00:18,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
2024-12-04 20:00:18,Assets,GJ,Loan to GaoJian,10000.0,1.0,10000.0,Loans Receivables
2024-12-04 20:00:18,Assets,Cash-CNY,Cash in CNY,1480000.0,1.0,1480000.0,Cash in CNY
2024-12-04 20:00:18,Assets,CNY=X,Cash in USD,250.0,7.262700080871582,1815.6750202178955,Cash in USD
2024-12-04 20:00:18,Liabilities,HouseLoan,HouseLoan,209612.0,1.0,209612.0,Liabilities
2024-12-04 20:00:18,Liabilities,Team Fund,Team Fund,42393.0,1.0,42393.0,Liabilities
2024-12-05 20:00:31,Assets,512290.SS,BIO ETF,296900.0,0.9369999766349792,278195.29306292534,Investments in CN
2024-12-05 20:00:31,Assets,DELL,Dell Technology,3031.0,907.8455935213242,2751679.993963133,Investments in US
2024-12-05 20:00:31,Assets,AMZN,Amazon,179.0,1600.906283762779,286562.2247935374,Investments in US
2024-12-05 20:00:31,Assets,513500.SS,S&P 500 ETF,4500.0,2.2330000400543213,10048.500180244446,Investments in US
2024-12-05 20:00:31,Assets,BTC-USD,BTC,3.0,708267.4720265307,2124802.416079592,Crypto to the Mars
2024-12-05 20:00:31,Assets,DOGE-USD,DOGE,89986.0,3.173633893257488,285582.61951866833,Crypto to the Mars
2024-12-05 20:00:31,Assets,IBKR,Interactive Brokers,4.0653,1356.6509658759314,5515.193171575424,Investments in US
2024-12-05 20:00:31,Assets,SOXL,SOXL,4.0,211.3733470036086,845.4933880144345,Investments in US
2024-12-05 20:00:31,Assets,VOO,Vanguard S&P 500 ETF,30.0,4048.249677348562,121447.49032045684,Investments in US
2024-12-05 20:00:31,Assets,KYS,Loan to KangYanSong,2744105.0,1.0,2744105.0,Loans Receivables
2024-12-05 20:00:31,Assets,QF,Loan to QiFeng,200000.0,1.0,200000.0,Loans Receivables
2024-12-05 20:00:31,Assets,YQ,Loan to YunQing,5000.0,1.0,5000.0,Loans Receivables
